Data Source,Health Nutrition and Population Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,9/25/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,"Age at first marriage, male",SP.DYN.SMAM.MA,,32.5,32.9,28.2,28.5,28.9,,,,,,29.6,29.7,29.7,29.6,29.7,29.8,29.6,29.9,30,,,,,
Israel,ISR,"Age at first marriage, male",SP.DYN.SMAM.MA,,27.6,,,,27.9,28,,28.3,28.8,28.5,28.6,28.7,28.8,28.8,29.1,29.2,29.2,29.2,,,,,,
Italy,ITA,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,31.5,31.8,32,32.4,,32.7,,33.3,33.5,32,33.8,34,32.4,34.3,34.5,34.6,,,,
Jamaica,JAM,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,34.8,,,,,,,,,,,,,,,,,
Jordan,JOR,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,28.6,,,,,29.4,,28.6,,,29.5,,29.2,,,29.8,,,,,,
Japan,JPN,"Age at first marriage, male",SP.DYN.SMAM.MA,,30.7,,,,,30.8,,,,,31.1,,,,,31.2,,,,,,,,
Kazakhstan,KAZ,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,26.1,,,,,,,,,,28.1,,26.3,,,,,,,
Kenya,KEN,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,26.3,26.4,25.2,,,26.3,,,,,26.6,26.9,,,,,,,,,
Kyrgyz Republic,KGZ,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,25,,,,,,,,,,26.3,,,25.5,,,,,,
Cambodia,KHM,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,24.2,,,,,,24.6,24.4,,,25.6,,24.9,,,,,,,,
Kiribati,KIR,"Age at first marriage, male",SP.DYN.SMAM.MA,,24.8,,,,,,,,,,24.7,,,,24.4,24.1,,,,,,,,
St. Kitts and Nevis,KNA,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",KOR,"Age at first marriage, male",SP.DYN.SMAM.MA,,29.3,,,,,30.3,,,,,32,,,,,,,,,,,,,
Kuwait,KWT,"Age at first marriage, male",SP.DYN.SMAM.MA,,28.5,27.6,,,,,,,,,28.9,,,,,,,,,,,,,
Latin America & Caribbean (excluding high income),LAC,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,
Lao PDR,LAO,"Age at first marriage, male",SP.DYN.SMAM.MA,,23.9,,,,,23.2,,,,,24.7,,,,,,,23.3,,,,,,
Lebanon,LBN,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,31.4,,,,,,,32.6,,,32.3,,,,,,,,,,,
Liberia,LBR,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,25.3,27.2,,,,,26.4,,,,,
Libya,LBY,"Age at first marriage, male",SP.DYN.SMAM.MA,,32,,,,,,,,,,,33.9,,,,,,,,,,,,
St. Lucia,LCA,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,27.7,,,,,,,,,,,,,,,,,
Latin America & Caribbean,LCN,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,
Least developed countries: UN classification,LDC,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,
Low income,LIC,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,LIE,"Age at first marriage, male",SP.DYN.SMAM.MA,27.2,,,30.6,,,31,,,31.4,31.6,31.8,32.1,32.3,32.4,32.5,32.6,32.6,,,,,,,
Sri Lanka,LKA,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,27.6,,,,,,,,,,,,,,,,,
Lower middle income,LMC,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,
Low & middle income,LMY,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,LSO,"Age at first marriage, male",SP.DYN.SMAM.MA,,,27,,,,26.7,27.7,26.2,,27.2,,27.6,,,27,,28.5,,,,,,,
Late-demographic dividend,LTE,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,LTU,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,26.9,,,,28.6,28.8,29.4,29.7,29.8,30.8,28.9,,31.9,32.7,,,,
Luxembourg,LUX,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,30.6,,,,,,,,,,30.4,,,,,,,
Latvia,LVA,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,28.6,,29.5,,,30.4,30.7,31,31.2,31.5,31.9,30,,32.8,33,,,,
"Macao SAR, China",MAC,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,29.5,,,,,29.8,,,,,32.7,,,,,,,
St. Martin (French part),MAF,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,30.1,,,,,,,31.2,,,,,,,31.2,,,,,,,
Monaco,MCO,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,32.5,,,,,,,,33.4,,,,,,,,,,
Moldova,MDA,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,25.4,,,,27.1,25.4,,,,,,,25.7,,,,,,
Madagascar,MDG,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,23.9,,,,24.1,,,,22.4,,,,,,,,,,
Maldives,MDV,"Age at first marriage, male",SP.DYN.SMAM.MA,,24,,,,,25.7,,,,,,26.4,,,,,,,,,,,,
Middle East & North Africa,MEA,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,MEX,"Age at first marriage, male",SP.DYN.SMAM.MA,,25.1,,,,,25,,,,,,,,,26.6,25.5,,,,,,,,
Marshall Islands,MHL,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,25.2,,,,,,,,23.5,,,,,,,,,,,
Middle income,MIC,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,
North Macedonia,MKD,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,MLI,"Age at first marriage, male",SP.DYN.SMAM.MA,,,25.8,,28.2,,,25.9,,,,,24,,,27.6,,,,25.9,,,,,
Malta,MLT,"Age at first marriage, male",SP.DYN.SMAM.MA,,26.4,,,,,,,,,,28.2,,,30.9,30.4,31,30.3,,,,,,,
Myanmar,MMR,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,26.9,,,,,,,27.7,,,,,,,26.1,,,,
Middle East & North Africa (excluding high income),MNA,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,
